Title,Alternative Title,Description,Display Note,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Language,B1G Language,Local Collection,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Bounding Box,Geometry,Centroid,GeoNames,Coordinate Reference System,Spatial Resolution in Meters,Spatial Resolution as Text,Georeferenced,Provenance,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Created At,Updated At,Date Accessioned,Date Retired,Format,File Size,B1G Image,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Relation,Rights,License,Rights Holder,Access Rights,Suppressed Record,Deprioritized,Mediator,Access,ID,Identifier,WxS Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Review Date,Review Status,Website Title,Website Alternative Title,Website Description,Website Display Note,Website Creator,Website Creator ID,Website Publisher,Website Provider,Website Resource Class,Website Resource Type,Website Subject,Website Theme,Website Keyword,Website Language,Website B1G Language,Website Local Collection,Website Temporal Coverage,Website Date Issued,Website Index Year,Website Date Range,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website GeoNames,Website Coordinate Reference System,Website Spatial Resolution in Meters,Website Spatial Resolution as Text,Website Georeferenced,Website Provenance,Website Publication State,Website Website Platform,Website Endpoint URL,Website Endpoint Description,Website Is Harvested,Website Last Harvested,Website Accrual Method,Website Accrual Periodicity,Website Harvest Workflow,Website Created At,Website Updated At,Website Date Accessioned,Website Date Retired,Website Format,Website File Size,Website B1G Image,Website Member Of,Website Is Part Of,Website Source,Website Is Version Of,Website Replaces,Website Is Replaced By,Website Relation,Website Rights,Website License,Website Rights Holder,Website Access Rights,Website Suppressed Record,Website Deprioritized,Website Mediator,Website Access,Website ID,Website Identifier,Website WxS Identifier,Website Code,Website Tags,Website Admin Note,Effective Harvest Workflow,Website Match Count,Website Name
Harvest record for Urban Base Layers - Minneapolis,,Curated datasets from the city of Minneapolis,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2011-01-01 / acquisition / purchase by UMN Libraries|2025-12-18 / ingest / 12 datasets,draft,,,,,2011-01-01,Mediated deposit,Annual,curation_datasets,2026-04-03 07:06:52 -0500,2026-04-15 18:02:16 -0500,,,,,,,,,,,,,,,,Public,,,,,b1g_27_43000,,,b1g_27_43000,,,2012-01-01,Due,-5224,,No Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for SimplyAnalytics,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2020-11-18 / harvest,draft,,,,,2020-11-18,Manual curation,Annual,template_children,2026-03-28 16:05:10 -0500,2026-04-15 18:02:11 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0004,999-0004,,999-0004,,,2021-11-18,Due,-1615,,No Review,SimplyAnalytics,,"Formerly named SimplyMap, SimplyAnalytics is a web-based mapping tool that lets users quickly create professional-quality thematic maps and reports using powerful demographic, business, and marketing data. Maps are exportable as shapefiles.",Warning: Requires logging in through an organization with licensed access. Different institutions may have licenses for different years or locations.,"Geographic Research, Inc.",,,,Websites,Interactive resources,,Economy,Simply Analytics|2022-creator-sprint,eng,,,1980-present,,1980,1980-2021,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",,,,,,,published,,,,true,2020-11-18,Manual curation,Annual,template_children,2021-04-27 15:43:13 -0500,2026-03-13 10:55:42 -0500,,,,,,999-licensed-resources,,,,,,8888-001,,,,Restricted,,,University of Illinois Urbana-Champaign|Indiana University|University of Iowa|University of Maryland|University of Michigan|Michigan State University|University of Minnesota|Pennsylvania State University|Purdue University|Michigan State University,,999-0004,,,999-0004,,,template_children,1,
Harvest record for PolicyMap,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Annual,template_children,2026-03-28 16:05:04 -0500,2026-04-15 18:02:08 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0003,999-0003,,999-0003,,,2022-04-27,Due,-1455,,No Review,PolicyMap,,"Policymap is an online data and mapping application that gives access to over 15,000 indicators related to housing, crime, mortgages, health, jobs, demographics and education. Data are available at all common geographies (address, block group, census tract, zip code, county, city, state, MSA) as well as unique geographies like school districts and political boundaries. Data come from both public and proprietary sources. Many of the public files are available for download. Through PolicyMap, you can access all data in interactive maps, tables, charts, reports and through a unique analytic tool. You may also upload your own address level data and share your data and interactive maps with others.",Warning: Requires logging in through an organization with licensed access. Different institutions may have licenses for different years or locations.,PolicyMap,,PolicyMap,,Websites,Interactive resources,Census,,Policy Map|Policy,eng,,,1990-present,,1990,1990-2020,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",,,,,,,published,,,Manual,true,2021-04-27,Manual curation,Annual,template_children,2021-04-27 15:43:07 -0500,2026-03-13 10:55:37 -0500,,,,,,999-licensed-resources,,,,,,8888-001,,,,Restricted,,,University of Chicago|University of Iowa|University of Maryland|University of Michigan|Michigan State University|University of Minnesota|The Ohio State University|Pennsylvania State University|Rutgers University-New Brunswick|University of Wisconsin-Madison,,999-0003,,,999-0003,,,template_children,1,
Scan ArcGIS Hubs,,Harvest record - temporary,,,,,,Series,Data portals,Data,,,,,,,,,,,,,,,,,,,2026-03-22 / harvest,draft,ArcGIS Hub,https://openac-alcogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2026-03-28 16:04:56 -0500,2026-04-15 18:01:44 -0500,,,,,,,,,,,,,,,,Public,true,,,,py_arcgis_hub,,,08b-42003,,,2026-03-29,Due,-23,,No Review,168 websites,,"ArcGIS Hub site for finding and accessing open data provided by Allegheny County, Pennsylvania",,,,Pennsylvania--Allegheny County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Pennsylvania--Allegheny County|Pennsylvania,"-80.361,40.194,-79.689,40.675","POLYGON((-80.361 40.675, -79.689 40.675, -79.689 40.194, -80.361 40.194, -80.361 40.675))","40.4345,-80.025",,,,,,,published,ArcGIS Hub,https://openac-alcogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 17:46:44 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,,https://openac-alcogis.opendata.arcgis.com,,08b-42003,,,py_arcgis_hub,168,168 websites
Harvest record for University of Iowa Digital Library: Atlases and Maps,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2025-09-16 / harvest,draft,Islandora,https://digital.lib.uiowa.edu/oai2/oai.php?verb=ListRecords&metadataPrefix=mods&set=ui_dep,OAI-PMH,,2025-09-16,Automated retrieval,Irregular,py_oaipmh,2026-03-28 16:05:08 -0500,2026-04-15 18:02:31 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_03d-01,03d-01,,03d-01,ogm|queue:pending_harvest|harvest_due:2026-04-10,"2026-04-09 ~ needed to work with Iowa's IT and contracted developer to whitelist my IP address and open their CORS headings
2026-04-13 ~ many new atlas records: remediated Spatial Coverage and matched bboxes",2026-04-10,Due,-11,,No Review,University of Iowa Digital Library: Atlases and Maps,,,,University of Iowa,,,University of Iowa,Websites,Digital repositories,Map collections,,,,,,,,,,,,,,,,,,,,published,Islandora,https://digital.lib.uiowa.edu/oai2/oai.php?verb=ListRecords&metadataPrefix=mods&set=ui_dep,OAI-PMH,true,2025-09-16,Automated retrieval,Irregular,py_oaipmh,2023-12-02 19:21:37 -0600,2026-03-29 14:06:41 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,03d-01,https://digital.lib.uiowa.edu/islandora/object/ui_root?sort=mods_titleInfo_title_ss%20asc&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Amaps%22,,03d-01,ogm,,py_oaipmh,1,
Harvest record for Minnesota Geospatial Commons,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-16 / harvest / added 5, retired 11",draft,CKAN,https://gisdata.mn.gov/api/3/action/package_search,CKAN API,,2026-03-16,Automated retrieval,Monthly,py_mncommons_ckan,2026-03-28 16:04:24 -0500,2026-04-15 18:02:22 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05a-01_ckan,05a-01,,05a-01,,,2026-04-16,Due,-5,,No Review,Minnesota Geospatial Commons,,"The Minnesota Geospatial Commons is a collaborative space for users and publishers of Minnesota's geospatial resources. The Commons is used by researchers, cartographers, web and application developers, journalists, planners, and other citizens who need GIS data for a project.","Info: Items cataloged from the Minnesota Geospatial Commons may have multiple layers, formats, or external web applications that are not represented in the BTAA Geoportal record. Use the ""Visit Source"" button found on each page to find complete information and access links.",,,Minnesota Department of Natural Resources|Minnesota Geospatial Information Office|Metropolitan Council of the Twin Cities|Minnesota Pollution Control Agency|Minnesota Department of Agriculture,,Websites,Data portals,State government records|County government records|Intergovernment records,,State agencies geospatial data,eng,,,Continually updated resource,,,,Minnesota,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",,,,,,,published,CKAN,https://gisdata.mn.gov/api/3/action/package_search,CKAN API,true,2026-03-16,Automated retrieval,Monthly,py_mncommons_ckan,2021-04-26 12:02:52 -0500,2026-03-29 14:27:48 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,05a-01,https://gisdata.mn.gov/,,05a-01,,,py_mncommons_ckan,1,
Harvest record for Ann Arbor Data Catalog,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,,draft,CKAN,https://ckan.a2gov.org/api/3/action/package_list,CKAN API,,,Automated retrieval,Quarterly,py_ckan,2026-04-15 18:02:32 -0500,2026-04-15 18:02:32 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_07c-02,07c-02,,07c-02,queue:pending_updates|archive_candidate,,2026-04-21,Due,0,,No Review,Ann Arbor Data Catalog,,"Website for finding and accessing open data provided by the City of Ann Arbor, Michigan",,,,,,Websites,Data portals,Municipal government records,,,eng,,,Continually updated resource,,,,Michigan--Ann Arbor|Michigan,"-83.800,42.223,-83.676,42.324","POLYGON((-83.800 42.324, -83.676 42.324, -83.676 42.223, -83.800 42.223, -83.800 42.324))","42.2735,-83.738",,,,,,,published,Other,https://www.a2gov.org/services/data-catalog/,CKAN API,,,Manual curation,Quarterly,py_ckan,2021-04-27 13:50:02 -0500,2026-04-15 18:02:33 -0500,2025-10-13,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,07c-02,https://www.a2gov.org/services/data-catalog/,,07c-02,archive_candidate,2026-04-04 / Found new site Powered by PortalJS from Datopian.com. Could be harvested programmatically.,py_ckan,1,
Harvest record for City of Milwaukee Open Data,,,,,,,,Series,,,,,,,,,,,,,,,,,,,,,,draft,CKAN,https://data.milwaukee.gov/api/3/action/package_list,CKAN API,,,Automated retrieval,Quarterly,py_ckan,2026-04-15 18:22:33 -0500,2026-04-15 18:22:33 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_10c-01,10c-01,,10c-01,queue:pending_harvest,,2026-04-21,Due,0,,No Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,py_ckan,0,
Harvest record for National Historical Geographic Information System (NHGIS),,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Irregular,template_children,2026-03-28 16:05:09 -0500,2026-04-15 18:02:22 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-10,05d-10,,05d-10,queue:pending_updates,"2026-04-10 ~ sort out how the child records are organized, remove them from this website pairing",2026-04-21,Due,0,,No Review,National Historical Geographic Information System (NHGIS),,"The National Historical Geographic Information System (NHGIS) provides easy access to summary tables and time series of population, housing, agriculture, and economic data, along with GIS-compatible boundary files, for years from 1790 through the present and for all levels of U.S. census geography, including states, counties, tracts, and blocks.",,IPUMS Center for Data Integration,,,University of Minnesota,Websites,Interactive resources,National government records|Census,,Census,eng,,,Continually updated resource,,,,,"144.4,-14.8,-64.4,71.6","POLYGON((144.4 71.6, -64.4 71.6, -64.4 -14.8, 144.4 -14.8, 144.4 71.6))","28.4,40.0",,,,,,,published,,,,true,2021-04-27,Manual curation,Annual,template_children,2021-04-26 12:02:53 -0500,2026-03-29 15:11:02 -0500,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,,,,,,,,,Public,,,,,05d-10,https://www.nhgis.org,,05d-10,,,template_children,1,
Harvest record for Humanitarian Data Exchange,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-30 / harvest / 315 new items, 9 retired",draft,CKAN,https://data.humdata.org/api/3/action/package_search,CKAN API,,2026-03-30,Automated retrieval,Monthly,py_hdx,2026-03-28 16:04:23 -0500,2026-04-15 18:01:56 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_99-1400,99-1400,,99-1400,,,2026-04-30,Scheduled,9,,No Review,Humanitarian Data Exchange,HDX,"An open platform for sharing data across crises and organisations. Launched in July 2014, the goal of HDX is to make humanitarian data easy to find and use for analysis. Our growing collection of datasets has been accessed by users in over 200 countries and territories.  HDX is managed by OCHA's Centre for Humanitarian Data, which is located in The Hague. OCHA is part of the United Nations Secretariat and is responsible for bringing together humanitarian actors to ensure a coherent response to emergencies. The HDX team includes OCHA staff and a number of consultants who are based in North America, Europe and Africa.",,Centre for Humanitarian Data,,Centre for Humanitarian Data,,Websites,Data portals,,,,eng,,,Continually updated resource,,,,,,,,,,,,,,published,CKAN,https://data.humdata.org/api/3/action/package_search,CKAN API,true,2025-11-17,Automated retrieval,Monthly,py_hdx,2021-11-11 11:06:21 -0600,2026-03-13 10:55:22 -0500,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,,,,,,,,,Public,,,,,99-1400,https://data.humdata.org,,99-1400,,,py_hdx,1,
