Township,Township Direction,Range,Range Direction,STATEABBR,PRINMERCD,PRINMER,PLSSID,Bounding Box
012,N,004,W,IL,3,3rd Meridian,IL030120N0040W0,"-89.58943121, 39.43638275, -89.47555117, 39.52461177"
012,S,001,E,IL,3,3rd Meridian,IL030120S0010E0,"-89.15624058, 37.41946827, -89.043121, 37.5126077"
012,N,001,E,IL,4,4th Meridian,IL040120N0010E0,"-90.44050289, 40.97644345, -90.32411913, 41.06401419"
012,N,010,W,IL,3,3rd Meridian,IL030120N0100W0,"-90.26472681, 39.43285099, -90.15209497, 39.52030225"
012,N,005,E,IL,4,4th Meridian,IL040120N0050E0,"-89.98546377, 40.97452195, -89.86886084, 41.06234988"
012,S,008,E,IL,3,3rd Meridian,IL030120S0080E0,"-88.37856444, 37.42292514, -88.26435376, 37.51119659"
012,N,006,E,IL,4,4th Meridian,IL040120N0060E0,"-89.86988351, 40.97403935, -89.75426216, 41.06234988"
012,S,001,E,IL,4,4th Meridian,IL040120S0010E0,"-90.46949378, 38.96859534, -90.45740524, 38.96918605"
012,N,010,E,IL,4,4th Meridian,IL040120N0100E0,"-89.4090673, 41.0473924, -89.3985447, 41.0606944"
012,N,009,E,IL,4,4th Meridian,IL040120N0090E0,"-89.52471363, 40.97309803, -89.4088149, 41.0606157"
012,N,014,W,IL,3,3rd Meridian,IL030120N0140W0,"-90.61418501, 39.43490814, -90.60023569, 39.47439808"
012,S,001,W,IL,3,3rd Meridian,IL030120S0010W0,"-89.2701848, 37.4227052, -89.1547398, 37.5126077"
012,S,002,E,IL,3,3rd Meridian,IL030120S0020E0,"-89.04446499, 37.41946827, -88.92853332, 37.5112632"
012,N,002,W,IL,3,3rd Meridian,IL030120N0020W0,"-89.36644721, 39.43623214, -89.2498629, 39.52430426"
012,N,011,W,IL,2,2nd Meridian,IL020120N0110W0,"-87.68413014, 39.43313925, -87.57311172, 39.53114172"
012,N,002,E,IL,4,4th Meridian,IL040120N0020E0,"-90.32577679, 40.97591342, -90.20960645, 41.06392679"
012,N,012,W,IL,3,3rd Meridian,IL030120N0120W0,"-90.48786984, 39.43332735, -90.37427028, 39.52112452"
012,N,013,E,IN,2,2nd Meridian,IN020120N0130E0,"-85.13007249, 39.4399906, -85.02249951, 39.52679326"
012,N,010,E,IN,2,2nd Meridian,IN020120N0100E0,"-85.46005955, 39.43828401, -85.34755781, 39.52582801"
012,N,002,W,IN,1,1st Meridian,IN010120N0020W0,"-84.98862118, 39.65451603, -84.92731494, 39.74116933"
012,N,003,E,IN,2,2nd Meridian,IN020120N0030E0,"-86.25151587, 39.43055547, -86.13838022, 39.51923877"
012,N,008,W,IN,2,2nd Meridian,IN020120N0080W0,"-87.35108836, 39.43361074, -87.23892679, 39.52077346"
012,N,005,W,IN,2,2nd Meridian,IN020120N0050W0,"-87.01551694, 39.4291281, -86.90341711, 39.51707408"
012,N,008,E,IN,2,2nd Meridian,IN020120N0080E0,"-85.68464026, 39.43851406, -85.572673, 39.52539855"
012,N,011,E,IN,2,2nd Meridian,IN020120N0110E0,"-85.34847403, 39.43825963, -85.24095413, 39.52582801"
012,N,004,W,IN,2,2nd Meridian,IN020120N0040W0,"-86.90449221, 39.42761351, -86.79488112, 39.51582743"
012,N,003,W,IN,2,2nd Meridian,IN020120N0030W0,"-86.79554433, 39.4266011, -86.68678931, 39.51479004"
012,N,001,W,IN,2,2nd Meridian,IN020120N0010W0,"-86.57545672, 39.4254544, -86.4649579, 39.51381282"
012,N,012,E,IN,2,2nd Meridian,IN020120N0120E0,"-85.24153833, 39.43894662, -85.12939477, 39.52679326"
012,N,009,E,IN,2,2nd Meridian,IN020120N0090E0,"-85.57392763, 39.43767568, -85.45968065, 39.52486291"
012,N,006,W,IN,2,2nd Meridian,IN020120N0060W0,"-87.12634782, 39.42999076, -87.01426061, 39.51830045"
012,N,010,W,IN,2,2nd Meridian,IN020120N0100W0,"-87.53189755, 39.43347275, -87.46080448, 39.52039946"
012,N,009,W,IN,2,2nd Meridian,IN020120N0090W0,"-87.46131083, 39.43377384, -87.35087495, 39.52077075"
012,N,006,E,IN,2,2nd Meridian,IN020120N0060E0,"-85.91364447, 39.43702638, -85.79854438, 39.52521201"
012,N,007,W,IN,2,2nd Meridian,IN020120N0070W0,"-87.23953922, 39.43137389, -87.12529816, 39.52063639"
012,N,001,W,IN,1,1st Meridian,IN010120N0010W0,"-84.92771563, 39.65374827, -84.8143028, 39.74116182"
012,N,004,E,IN,2,2nd Meridian,IN020120N0040E0,"-86.13900644, 39.43209048, -86.02577532, 39.52147375"
012,N,007,E,IN,2,2nd Meridian,IN020120N0070E0,"-85.79897894, 39.43822023, -85.68414383, 39.52547159"
012,N,002,E,IN,2,2nd Meridian,IN020120N0020E0,"-86.3618267, 39.42782672, -86.25125114, 39.51670181"
012,N,001,E,IN,2,2nd Meridian,IN020120N0010E0,"-86.46520343, 39.4254544, -86.36070677, 39.51446571"
012,N,005,E,IN,2,2nd Meridian,IN020120N0050E0,"-86.02622218, 39.43429324, -85.91295715, 39.52387187"
012,N,002,W,IN,2,2nd Meridian,IN020120N0020W0,"-86.68747131, 39.42610389, -86.57534607, 39.5141094"
012,N,004,E,MI,19,Michigan Meridian,MI190120N0040E0,"-84.05215128, 43.39319874, -83.93588106, 43.48082588"
012,N,013,E,MI,19,Michigan Meridian,MI190120N0130E0,"-82.99290018, 43.41717868, -82.8691081, 43.50849945"
012,N,011,W,MI,19,Michigan Meridian,MI190120N0110W0,"-85.68293495, 43.38072243, -85.56241877, 43.46831368"
012,N,008,E,MI,19,Michigan Meridian,MI190120N0080E0,"-83.58176178, 43.39357535, -83.46272378, 43.48055467"
012,N,002,W,MI,19,Michigan Meridian,MI190120N0020W0,"-84.60756347, 43.37879711, -84.48837926, 43.46622176"
012,N,012,W,MI,19,Michigan Meridian,MI190120N0120W0,"-85.80086468, 43.38016118, -85.68250541, 43.46801875"
012,N,011,E,MI,19,Michigan Meridian,MI190120N0110E0,"-83.22924667, 43.41220504, -83.10644392, 43.50111247"
012,N,018,W,MI,19,Michigan Meridian,MI190120N0180W0,"-86.47714347, 43.38675901, -86.39626013, 43.47246202"
012,N,009,W,MI,19,Michigan Meridian,MI190120N0090W0,"-85.44286254, 43.380755, -85.32287782, 43.46822954"
012,N,012,E,MI,19,Michigan Meridian,MI190120N0120E0,"-83.1095999, 43.41439509, -82.98830939, 43.50405621"
012,N,001,W,MI,19,Michigan Meridian,MI190120N0010W0,"-84.48869081, 43.37892537, -84.36984096, 43.46622176"
012,N,007,W,MI,19,Michigan Meridian,MI190120N0070W0,"-85.20452274, 43.37922496, -85.08468828, 43.46732228"
012,N,002,E,MI,19,Michigan Meridian,MI190120N0020E0,"-84.29091575, 43.39017349, -84.17038851, 43.48193696"
012,N,014,E,MI,19,Michigan Meridian,MI190120N0140E0,"-82.87313188, 43.42052404, -82.75052606, 43.51162641"
012,N,001,E,MI,19,Michigan Meridian,MI190120N0010E0,"-84.37007836, 43.38963298, -84.29047375, 43.48156143"
012,N,017,W,MI,19,Michigan Meridian,MI190120N0170W0,"-86.39724738, 43.38372678, -86.27649754, 43.47246202"
012,N,009,E,MI,19,Michigan Meridian,MI190120N0090E0,"-83.4636936, 43.40793175, -83.34425364, 43.49606734"
012,N,010,W,MI,19,Michigan Meridian,MI190120N0100W0,"-85.56266674, 43.38108702, -85.44262244, 43.46821359"
012,N,014,W,MI,19,Michigan Meridian,MI190120N0140W0,"-86.039458, 43.38012616, -85.9193494, 43.46732614"
012,N,016,E,MI,19,Michigan Meridian,MI190120N0160E0,"-82.63493222, 43.42832049, -82.53217096, 43.51774549"
012,N,003,W,MI,19,Michigan Meridian,MI190120N0030W0,"-84.72684561, 43.37880221, -84.60714108, 43.4662054"
012,N,013,W,MI,19,Michigan Meridian,MI190120N0130W0,"-85.91999346, 43.37986702, -85.80072892, 43.46699169"
012,N,005,E,MI,19,Michigan Meridian,MI190120N0050E0,"-83.93622386, 43.39260756, -83.81765583, 43.47955113"
012,N,006,E,MI,19,Michigan Meridian,MI190120N0060E0,"-83.81806076, 43.39260756, -83.69843825, 43.47902268"
012,N,007,E,MI,19,Michigan Meridian,MI190120N0070E0,"-83.69881117, 43.39274147, -83.58043545, 43.47983921"
012,N,015,E,MI,19,Michigan Meridian,MI190120N0150E0,"-82.75410139, 43.42372464, -82.63197255, 43.51555773"
012,N,008,W,MI,19,Michigan Meridian,MI190120N0080W0,"-85.3234729, 43.38036914, -85.20359802, 43.46782503"
012,N,005,W,MI,19,Michigan Meridian,MI190120N0050W0,"-84.96544293, 43.37903393, -84.84497357, 43.46624139"
012,N,010,E,MI,19,Michigan Meridian,MI190120N0100E0,"-83.34760359, 43.40992908, -83.22576429, 43.49806024"
012,N,015,W,MI,19,Michigan Meridian,MI190120N0150W0,"-86.15854533, 43.3805401, -86.03907557, 43.46860056"
012,N,004,W,MI,19,Michigan Meridian,MI190120N0040W0,"-84.84599837, 43.37910994, -84.72665086, 43.46626165"
012,N,006,W,MI,19,Michigan Meridian,MI190120N0060W0,"-85.08500593, 43.3791352, -84.96481782, 43.46624139"
012,N,003,E,MI,19,Michigan Meridian,MI190120N0030E0,"-84.17071224, 43.39414514, -84.05188445, 43.48193696"
012,N,016,W,MI,19,Michigan Meridian,MI190120N0160W0,"-86.27769311, 43.38215212, -86.15735631, 43.46982832"
012,N,013,W,NE,6,6th Meridian,NE060120N0130W0,"-98.83642663, 40.95997081, -98.72156153, 41.04684344"
012,N,048,W,NE,6,6th Meridian,NE060120N0480W0,"-102.849863, 41.00235714, -102.7353206, 41.04801879"
012,N,007,W,NE,6,6th Meridian,NE060120N0070W0,"-98.16830604, 40.95820961, -98.05551588, 41.04627146"
012,N,019,W,NE,6,6th Meridian,NE060120N0190W0,"-99.53953372, 40.95939187, -99.42556205, 41.04662759"
012,N,012,E,NE,6,6th Meridian,NE060120N0120E0,"-96.12091841, 40.95812734, -96.00632383, 41.0457318"
012,N,043,W,NE,6,6th Meridian,NE060120N0430W0,"-102.2784992, 41.00228148, -102.1642176, 41.04783378"
012,N,020,W,NE,6,6th Meridian,NE060120N0200W0,"-99.65390471, 40.95955024, -99.53889448, 41.04656587"
012,N,004,E,NE,6,6th Meridian,NE060120N0040E0,"-97.02488901, 40.958856, -96.91041143, 41.04640339"
012,N,004,W,NE,6,6th Meridian,NE060120N0040W0,"-97.82633343, 40.95940273, -97.7117871, 41.04690058"
012,N,047,W,NE,6,6th Meridian,NE060120N0470W0,"-102.7355878, 41.00227242, -102.6211021, 41.04819463"
012,N,021,W,NE,6,6th Meridian,NE060120N0210W0,"-99.76790888, 40.95984085, -99.65359894, 41.04674663"
012,N,013,E,NE,6,6th Meridian,NE060120N0130E0,"-96.00676126, 40.95855555, -95.89173142, 41.04565501"
012,N,026,W,NE,6,6th Meridian,NE060120N0260W0,"-100.3387322, 40.95877795, -100.2241134, 41.04662394"
012,N,003,W,NE,6,6th Meridian,NE060120N0030W0,"-97.71212394, 40.95912732, -97.59753261, 41.04687228"
012,N,033,W,NE,6,6th Meridian,NE060120N0330W0,"-101.1327661, 40.95972719, -101.0190564, 41.04745814"
012,N,041,W,NE,6,6th Meridian,NE060120N0410W0,"-102.0518819, 40.95963036, -101.9375903, 41.0475145"
012,N,035,W,NE,6,6th Meridian,NE060120N0350W0,"-101.3652585, 40.95950226, -101.2486184, 41.04752647"
012,N,028,W,NE,6,6th Meridian,NE060120N0280W0,"-100.5652254, 40.95763695, -100.4513809, 41.04663036"
012,N,052,W,NE,6,6th Meridian,NE060120N0520W0,"-103.3064637, 41.00191314, -103.1915759, 41.04767355"
012,N,044,W,NE,6,6th Meridian,NE060120N0440W0,"-102.3926541, 41.00229981, -102.2782663, 41.04802927"
012,N,025,W,NE,6,6th Meridian,NE060120N0250W0,"-100.2243412, 40.95891407, -100.10946, 41.04698933"
012,N,007,E,NE,6,6th Meridian,NE060120N0070E0,"-96.68162806, 40.95780694, -96.56338399, 41.04573755"
012,N,017,W,NE,6,6th Meridian,NE060120N0170W0,"-99.31200789, 40.95971549, -99.19770959, 41.04702374"
012,N,008,E,NE,6,6th Meridian,NE060120N0080E0,"-96.56720959, 40.95777942, -96.46375577, 41.04542384"
012,N,050,W,NE,6,6th Meridian,NE060120N0500W0,"-103.0779626, 41.00216423, -102.9637431, 41.04770305"
012,N,002,E,NE,6,6th Meridian,NE060120N0020E0,"-97.2536844, 40.95965177, -97.13913562, 41.04667635"
012,N,011,E,NE,6,6th Meridian,NE060120N0110E0,"-96.23583771, 40.95743816, -96.12068713, 41.04550173"
012,N,042,W,NE,6,6th Meridian,NE060120N0420W0,"-102.1644535, 41.0023041, -102.051674, 41.04805597"
012,N,010,E,NE,6,6th Meridian,NE060120N0100E0,"-96.35011041, 40.95687657, -96.23512617, 41.04540963"
012,N,037,W,NE,6,6th Meridian,NE060120N0370W0,"-101.5953666, 40.95904513, -101.4786172, 41.0475519"
012,N,005,W,NE,6,6th Meridian,NE060120N0050W0,"-97.94067658, 40.95926645, -97.82605439, 41.04670839"
012,N,038,W,NE,6,6th Meridian,NE060120N0380W0,"-101.7090172, 40.95937318, -101.5933652, 41.047686"
012,N,015,W,NE,6,6th Meridian,NE060120N0150W0,"-99.06471908, 40.95936464, -98.95004507, 41.04699997"
012,N,053,W,NE,6,6th Meridian,NE060120N0530W0,"-103.4206579, 41.00196535, -103.3062464, 41.04775064"
012,N,027,W,NE,6,6th Meridian,NE060120N0270W0,"-100.4536477, 40.95871099, -100.3377424, 41.04643243"
012,N,002,W,NE,6,6th Meridian,NE060120N0020W0,"-97.59772373, 40.95893785, -97.48271672, 41.04701093"
012,N,036,W,NE,6,6th Meridian,NE060120N0360W0,"-101.4795177, 40.95925124, -101.3638081, 41.04749779"
012,N,051,W,NE,6,6th Meridian,NE060120N0510W0,"-103.1920856, 41.0019683, -103.077698, 41.04767407"
012,N,001,E,NE,6,6th Meridian,NE060120N0010E0,"-97.36805494, 40.95979802, -97.25346812, 41.04695209"
012,N,031,W,NE,6,6th Meridian,NE060120N0310W0,"-100.905833, 40.95972637, -100.7915336, 41.04732408"
012,N,006,W,NE,6,6th Meridian,NE060120N0060W0,"-98.05711101, 40.95932141, -97.94041691, 41.0465001"
012,N,030,W,NE,6,6th Meridian,NE060120N0300W0,"-100.7921897, 40.95982662, -100.677273, 41.04710601"
012,N,005,E,NE,6,6th Meridian,NE060120N0050E0,"-96.91091574, 40.95884071, -96.79551753, 41.04621779"
012,N,014,W,NE,6,6th Meridian,NE060120N0140W0,"-98.95070361, 40.95983103, -98.83618237, 41.04689806"
012,N,032,W,NE,6,6th Meridian,NE060120N0320W0,"-101.0192778, 40.95969835, -100.9056783, 41.04740683"
012,N,009,E,NE,6,6th Meridian,NE060120N0090E0,"-96.46399762, 40.95687657, -96.34919421, 41.04520433"
012,N,057,W,NE,6,6th Meridian,NE060120N0570W0,"-103.8777626, 41.00169001, -103.7634159, 41.0473394"
012,N,011,W,NE,6,6th Meridian,NE060120N0110W0,"-98.60765287, 40.96050166, -98.49284598, 41.04675426"
012,N,045,W,NE,6,6th Meridian,NE060120N0450W0,"-102.5068995, 41.00227398, -102.3923568, 41.04824758"
012,N,056,W,NE,6,6th Meridian,NE060120N0560W0,"-103.7635159, 41.001665, -103.6491736, 41.04740536"
012,N,012,W,NE,6,6th Meridian,NE060120N0120W0,"-98.72198485, 40.9602631, -98.60736398, 41.04686251"
012,N,018,W,NE,6,6th Meridian,NE060120N0180W0,"-99.42595154, 40.95933698, -99.31161065, 41.04692813"
012,N,046,W,NE,6,6th Meridian,NE060120N0460W0,"-102.6213657, 41.00241512, -102.5067026, 41.04823145"
012,N,040,W,NE,6,6th Meridian,NE060120N0400W0,"-101.9379323, 40.95925608, -101.8229318, 41.04748767"
012,N,023,W,NE,6,6th Meridian,NE060120N0230W0,"-99.99564911, 40.9604935, -99.88237339, 41.04738538"
012,N,054,W,NE,6,6th Meridian,NE060120N0540W0,"-103.5353784, 41.00158112, -103.4204828, 41.04772257"
012,N,024,W,NE,6,6th Meridian,NE060120N0240W0,"-100.1099993, 40.96001281, -99.99525174, 41.04738537"
012,N,008,W,NE,6,6th Meridian,NE060120N0080W0,"-98.28248026, 40.9591763, -98.1678942, 41.04657331"
012,N,022,W,NE,6,6th Meridian,NE060120N0220W0,"-99.88341227, 40.96036048, -99.76743348, 41.0470265"
012,N,049,W,NE,6,6th Meridian,NE060120N0490W0,"-102.9639437, 41.00227315, -102.8492923, 41.04779512"
012,N,016,W,NE,6,6th Meridian,NE060120N0160W0,"-99.19792045, 40.95991322, -99.06370971, 41.04710415"
012,N,001,W,NE,6,6th Meridian,NE060120N0010W0,"-97.48292737, 40.95893785, -97.36788847, 41.04695209"
012,N,058,W,NE,6,6th Meridian,NE060120N0580W0,"-103.992093, 41.00153117, -103.8773544, 41.04732744"
012,N,006,E,NE,6,6th Meridian,NE060120N0060E0,"-96.79592058, 40.95857644, -96.68121924, 41.04608699"
012,N,034,W,NE,6,6th Meridian,NE060120N0340W0,"-101.2502825, 40.95966994, -101.1318435, 41.04748589"
012,N,059,W,NE,6,6th Meridian,NE060120N0590W0,"-104.0532523, 41.00153117, -103.9920321, 41.04740052"
012,N,010,W,NE,6,6th Meridian,NE060120N0100W0,"-98.49307713, 40.96046823, -98.37797333, 41.04654814"
012,N,029,W,NE,6,6th Meridian,NE060120N0290W0,"-100.6778622, 40.95763695, -100.5644255, 41.0467479"
012,N,039,W,NE,6,6th Meridian,NE060120N0390W0,"-101.8235317, 40.95925608, -101.7083368, 41.04759699"
012,N,055,W,NE,6,6th Meridian,NE060120N0550W0,"-103.6494738, 41.00158112, -103.5350673, 41.04740536"
012,N,003,E,NE,6,6th Meridian,NE060120N0030E0,"-97.13930705, 40.95935534, -97.02460833, 41.04648487"
012,N,009,W,NE,6,6th Meridian,NE060120N0090W0,"-98.37877254, 40.9594012, -98.28227152, 41.04657331"
012,N,014,E,NE,6,6th Meridian,NE060120N0140E0,"-95.89200068, 40.95857804, -95.81575923, 41.04548809"
012,N,020,W,OH,38,Ohio River Base,OH380120N0200W0,"-82.84306395, 39.55440566, -82.72298097, 39.64944344"
012,N,003,W,OH,38,Ohio River Base,OH380120N0030W0,"-80.86357858, 40.5536853, -80.74644448, 40.64262515"
012,N,009,W,OH,38,Ohio River Base,OH380120N0090W0,"-81.53645663, 40.90656826, -81.41628291, 40.98858197"
012,N,016,W,OH,38,Ohio River Base,OH380120N0160W0,"-82.40142293, 39.38415189, -82.28040814, 39.47865786"
012,N,008,W,OH,38,Ohio River Base,OH380120N0080W0,"-81.42026868, 40.90308808, -81.29986396, 40.98872191"
012,N,015,W,OH,38,Ohio River Base,OH380120N0150W0,"-82.28971221, 39.37769948, -82.16703105, 39.47268267"
012,N,017,W,OH,38,Ohio River Base,OH380120N0170W0,"-82.52304193, 39.30090827, -82.40142293, 39.3958771"
012,N,012,W,OH,38,Ohio River Base,OH380120N0120W0,"-81.92794323, 39.76046646, -81.80960449, 39.85171214"
012,N,010,W,OH,38,Ohio River Base,OH380120N0100W0,"-81.64847472, 40.73356193, -81.54235609, 40.82842665"
012,N,006,W,OH,38,Ohio River Base,OH380120N0060W0,"-81.21802855, 40.29965253, -81.1023188, 40.38910138"
012,N,018,W,OH,38,Ohio River Base,OH380120N0180W0,"-82.62719125, 39.45604766, -82.50135882, 39.54949042"
012,N,019,W,OH,38,Ohio River Base,OH380120N0190W0,"-82.74069227, 39.46195659, -82.62092612, 39.55440566"
012,N,002,E,OH,47,East of the First Meridian Survey,OH470120N0020E0,"-84.70853617, 40.09212277, -84.59906182, 40.17879926"
012,N,021,W,OH,38,Ohio River Base,OH380120N0210W0,"-82.92775345, 39.91165191, -82.80792335, 39.98337874"
012,N,007,W,OH,38,Ohio River Base,OH380120N0070W0,"-81.33813549, 40.21257492, -81.21802855, 40.30427823"
012,N,005,W,OH,38,Ohio River Base,OH380120N0050W0,"-81.10240387, 40.38179521, -80.9811502, 40.47369743"
012,N,001,E,OH,47,East of the First Meridian Survey,OH470120N0010E0,"-84.80877141, 40.09164529, -84.7070843, 40.17927387"
012,N,011,W,OH,38,Ohio River Base,OH380120N0110W0,"-81.81520279, 39.75559903, -81.6941983, 39.84724468"
012,N,004,E,OH,47,East of the First Meridian Survey,OH470120N0040E0,"-84.49529667, 40.35418721, -84.43167352, 40.3656099"
012,N,002,W,OH,38,Ohio River Base,OH380120N0020W0,"-80.74653782, 40.81306426, -80.6318016, 40.90055359"
012,N,003,E,OH,47,East of the First Meridian Survey,OH470120N0030E0,"-84.59979862, 40.26637187, -84.49487694, 40.35405341"
012,N,004,W,OH,38,Ohio River Base,OH380120N0040W0,"-80.98329223, 40.46689148, -80.86362126, 40.55737249"
012,N,013,W,OH,38,Ohio River Base,OH380120N0130W0,"-82.00950743, 39.89801971, -81.91688731, 39.94182817"
012,N,014,W,OH,38,Ohio River Base,OH380120N0140W0,"-82.1527981, 39.55026056, -82.03186862, 39.64316446"
012,N,013,E,WI,46,Extended Fourth Meridian,WI460120N0130E0,"-89.00702365, 43.45863941, -88.88517926, 43.54604027"
012,N,009,E,WI,46,Extended Fourth Meridian,WI460120N0090E0,"-89.48404017, 43.4674701, -89.36397768, 43.55543458"
012,N,018,E,WI,46,Extended Fourth Meridian,WI460120N0180E0,"-88.40078939, 43.45613131, -88.28109801, 43.54353171"
012,N,019,E,WI,46,Extended Fourth Meridian,WI460120N0190E0,"-88.28219706, 43.45487121, -88.16080385, 43.54303986"
